"country","date","agricultural_land%","forest_land%","land_area","avg_precipitation","trade_in_services%","control_of_corruption_estimate","control_of_corruption_std","access_to_electricity%","renewvable_energy_consumption%","electric_power_consumption","CO2_emisions","other_greenhouse_emisions","population_density","inflation_annual%","real_interest_rate","risk_premium_on_lending","research_and_development_expenditure%","central_goverment_debt%","tax_revenue%","expense%","goverment_effectiveness_estimate","goverment_effectiveness_std","human_capital_index","doing_business","time_to_get_operation_license","statistical_performance_indicators","individuals_using_internet%","logistic_performance_index","military_expenditure%","GDP_current_US","political_stability_estimate","political_stability_std","rule_of_law_estimate","rule_of_law_std","regulatory_quality_estimate","regulatory_quality_std","government_expenditure_on_education%","government_health_expenditure%","multidimensional_poverty_headcount_ratio%","gini_index","birth_rate","death_rate","life_expectancy_at_birth","population","rural_population","voice_and_accountability_estimate","voice_and_accountability_std","intentional_homicides","year"
"Afghanistan","2020-01-01",58.8074758904068,1.85278199408184,652230,327,8.95965308142152,-1.48053777217865,0.157702177762985,97.7,17.58,NA,8709.47,31119.04539,59.7522806371985,NA,NA,NA,NA,NA,NA,NA,-1.58514487743378,0.276942580938339,0.400284141302109,NA,NA,NA,18.4,NA,1.35885692738929,20143451705.7548,-2.70502972602844,0.245315119624138,-1.81989753246307,0.160279721021652,-1.40276098251343,0.214829325675964,2.86085939407349,1.18621242,49.4,NA,36.051,7.113,62.575,38972230,28829317,-1.07773637771606,0.131838828325272,6.59443908400367,2020
"Albania","2020-01-01",42.538503649635,28.7919708029197,27400,1485,25.6887974472176,-0.551931083202362,0.150446966290474,100,44.58,NA,4383.2,8304.29494,103.571131386861,1.62088661717004,5.38676975341908,5.15166666666666,NA,83.887494535694,16.9832622958989,24.7325637517413,-0.124956652522087,0.257121503353119,0.634250938892365,NA,NA,NA,72.23767711,NA,1.25826801032012,15162734205.2462,0.0875523090362549,0.236120238900185,-0.349165230989456,0.146320477128029,0.235864624381065,0.220767647027969,3.09999990463257,2.93465567,43.4,29.4,10.285,10.785,76.989,2837849,1075204,0.0883624628186226,0.125340864062309,2.12777201167065,2020
"Algeria","2020-01-01",17.3649641165853,0.818308959706366,2381741,89,7.15415178403769,-0.645068347454071,0.185798391699791,99.7187728881836,0.15,NA,161563,266702.6795,18.2436570559099,2.41513094083414,13.7151843748281,5,NA,NA,NA,NA,-0.544885635375977,0.245914950966835,0.534556448459625,NA,NA,NA,63.94999611,NA,6.65999372695062,145743722826.258,-0.840253829956055,0.241320118308067,-0.793100297451019,0.171461284160614,-1.33929824829102,0.247475370764732,7.04239749908447,3.95616674,NA,NA,22.431,5.398,74.453,43451666,11413449,-1.08801770210266,0.126841470599175,1.50512065521262,2020
"American Samoa","2020-01-01",20.05,85.65,200,NA,NA,1.31140065193176,0.380331456661224,NA,0.51,NA,NA,NA,230.945,NA,NA,NA,NA,NA,NA,NA,0.689502596855164,0.490834087133408,NA,NA,NA,NA,NA,NA,NA,7.16e+08,1.17400634288788,0.342520415782928,1.18507862091064,0.526522874832153,0.542312026023865,0.515425980091095,NA,NA,NA,NA,12.7,5.6,NA,46189,5934,1.05725860595703,0.635575473308563,NA,2020
"Andorra","2020-01-01",39.8297872340425,34.0425531914894,470,NA,75.3155326018425,1.31140065193176,0.380331456661224,100,21.86,NA,448.884399,577.573639,165.31914893617,NA,NA,NA,NA,NA,NA,NA,1.81611633300781,0.490834087133408,NA,NA,NA,NA,93.20564892,NA,NA,2891001149.40074,1.6160352230072,0.285638898611069,1.68827486038208,0.526522874832153,1.34330141544342,0.515425980091095,NA,6.62333536,NA,NA,NA,NA,NA,77700,9389,1.08993756771088,0.225485175848007,2.57400257400257,2020
"Angola","2020-01-01",45.6825940482875,53.4269511510388,1246700,1010,11.2846353683308,-0.953371167182922,0.16689595580101,46.9554443359375,61.02,NA,19814.5,70781.0562,26.8135766423358,22.2715643068877,8.02865685308567,3.1588581607263,NA,NA,NA,NA,-1.20352840423584,0.230056568980217,0.362405389547348,NA,NA,NA,32.55014678,NA,1.4441630818427,50241368243.6314,-0.514614641666412,0.223476082086563,-0.913334012031555,0.166287407279015,-0.841778457164764,0.233136832714081,2.41519999504089,1.22474134,NA,NA,39.271,7.821,62.261,33428486,11089900,-0.802130937576294,0.124390006065369,NA,2020
"Antigua and Barbuda","2020-01-01",20.4545454545455,18.4545454545455,440,1030,60.4546129611746,0.271396458148956,0.252751708030701,100,0.74,NA,474.6,1203.631334,210.6,0.625989707046698,5.08541002579654,NA,NA,NA,NA,NA,-0.155457809567451,0.490834087133408,0.595703899860382,NA,NA,NA,95.68550784,NA,NA,1416348148.14815,0.94066995382309,0.277125179767609,0.447086125612259,0.337999135255814,0.512654900550842,0.370298027992249,3.45311999320984,3.38136292,NA,NA,12.16,5.961,78.841,92664,70023,0.745885133743286,0.210643261671066,9.71250971250971,2020
"Argentina","2020-01-01",39.6032286082823,10.4407148781923,2736690,591,5.57910209569141,-0.140874102711678,0.143883496522903,100,9.84,NA,154535.9,361433.0173,16.580892611147,NA,-7.63108287070969,NA,NA,NA,10.8715360069805,25.8539425343283,-0.224287480115891,0.232712268829346,0.602144718170166,NA,NA,NA,85.51438646,NA,0.726855652396672,385540406815.599,-0.0792135149240494,0.229722216725349,-0.473045349121094,0.150480389595032,-0.483492195606232,0.202366635203362,5.01604986190796,6.6165266,NA,42.3,14.125,8.509,75.892,45376763,3579773,0.588114678859711,0.127481430768967,5.36681384363525,2020
"Armenia","2020-01-01",58.8689848963822,11.5374077976818,28470,562,16.4585212547522,0.0202281009405851,0.158287271857262,100,8.38,NA,6746.6,10422.04117,98.5461187214612,1.21143577838465,9.63911034033596,5.79772968557314,0.209209993481636,63.4012140067668,21.8604192761626,26.5812877778437,-0.274477034807205,0.250836759805679,0.578998804092407,NA,7.2,NA,76.50770055,NA,4.98273595939967,12641698593.7908,-0.760855317115784,0.241320118308067,-0.104187101125717,0.154167234897614,0.251729071140289,0.233136832714081,2.70567011833191,2.35682821,19.1,25.1,12.455,12.792,72.173,2805608,1029293,0.0490519143640995,0.130983144044876,1.85343036991797,2020
"Aruba","2020-01-01",11.1111111111111,2.33333333333333,180,NA,81.9101751546158,1.23236238956451,0.263737887144089,100,8.67,NA,NA,NA,592.138888888889,NA,13.1222785356547,NA,NA,NA,NA,NA,1.1213675737381,0.357593536376953,NA,NA,NA,NA,NA,NA,NA,2610038938.54749,1.39027285575867,0.270814150571823,1.29894459247589,0.190689593553543,0.925700962543488,0.374926805496216,NA,NA,NA,NA,8.102,9.69,75.723,106585,60011,1.28616511821747,0.263635993003845,NA,2020
