"country","date","agricultural_land%","forest_land%","land_area","avg_precipitation","trade_in_services%","control_of_corruption_estimate","control_of_corruption_std","access_to_electricity%","renewvable_energy_consumption%","electric_power_consumption","CO2_emisions","other_greenhouse_emisions","population_density","inflation_annual%","real_interest_rate","risk_premium_on_lending","research_and_development_expenditure%","central_goverment_debt%","tax_revenue%","expense%","goverment_effectiveness_estimate","goverment_effectiveness_std","human_capital_index","doing_business","time_to_get_operation_license","statistical_performance_indicators","individuals_using_internet%","logistic_performance_index","military_expenditure%","GDP_current_US","political_stability_estimate","political_stability_std","rule_of_law_estimate","rule_of_law_std","regulatory_quality_estimate","regulatory_quality_std","government_expenditure_on_education%","government_health_expenditure%","multidimensional_poverty_headcount_ratio%","gini_index","birth_rate","death_rate","life_expectancy_at_birth","population","rural_population","voice_and_accountability_estimate","voice_and_accountability_std","intentional_homicides","year"
"Afghanistan","2019-01-01",58.2769881790166,1.85278199408184,652230,327,9.86301606709208,-1.40771043300629,0.15508745610714,97.7,18.51,NA,11238.83,32736.76917,57.9082516903546,2.30237251516844,NA,NA,NA,NA,NA,NA,-1.49562668800354,0.243109717965126,NA,173,NA,49.75625,17.6,NA,1.11823060279695,18904502222.2108,-2.65553116798401,0.2413479834795,-1.72789442539215,0.159764856100082,-1.12304580211639,0.197015583515167,3.21377992630005,0.49705607,NA,NA,36.466,6.791,63.565,37769499,28042342,-1.00674676895142,0.127229198813438,7.18039716624779,2019
"Africa Eastern and Southern","2019-01-01",44.1948457110325,30.391558389313,14845162.404,NA,10.6647192765414,NA,NA,44.3897728327672,63.3870896989865,NA,610723.5,1430850.662142,44.9468296702643,4.65366473106481,NA,NA,NA,NA,18.5890565209657,25.3174383353449,NA,NA,NA,NA,NA,NA,22.5895992519959,NA,1.1018581792474,1000834077088.55,NA,NA,NA,NA,NA,NA,4.60008430480957,2.79044790050006,NA,NA,34.3414501958511,7.43464404886078,63.7556779176533,667242986,424791846,NA,NA,NA,2019
"Africa Western and Central","2019-01-01",39.7248285941069,19.9012147100637,9045780,NA,12.1116765332491,NA,NA,51.1608170294888,75.3289283798123,NA,222990.35,862224.588584,50.2229838665101,1.76011151192936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.2764479325331,NA,0.854651278684982,822538393591.447,NA,NA,NA,NA,NA,NA,3.02303993701935,0.752463394256693,NA,NA,37.02783362633,10.4887479307689,57.5557955517512,454306063,239621856,NA,NA,NA,2019
"Albania","2019-01-01",42.8467153284672,28.7919708029197,27400,1485,40.2638962803585,-0.543374061584473,0.146842390298843,100,40.11,NA,4993.3,9196.36286,104.167554744526,1.41109078954248,4.95650401841986,NA,NA,75.6984882494976,18.1443771903866,23.1506546473696,-0.033333245664835,0.235240131616592,NA,82,10.9,75.3829166666667,68.55039112,NA,1.29967633671403,15401826080.5183,0.111168630421162,0.233014643192291,-0.402843326330185,0.148000240325928,0.285658627748489,0.203235909342766,3.91665005683899,2.86730385,46.2,30.1,10.343,8.48,79.282,2854191,1106598,0.142711371183395,0.121820919215679,2.26174791010144,2019
"Algeria","2019-01-01",17.3649641165853,0.814110350369751,2381741,89,7.6720010103274,-0.63569438457489,0.174724102020264,99.5,0.16,NA,170582.4,279200.6234,17.9303156808402,1.95176821052894,8.5123756154592,5.09583333333333,NA,NA,NA,NA,-0.54141891002655,0.216484531760216,NA,157,NA,55.1491666666667,58.97757455,NA,6.02104599353676,171760290068.157,-1.04434263706207,0.238514930009842,-0.848534941673279,0.170850425958633,-1.3732773065567,0.220927551388741,6.10035991668701,4.06651545,NA,NA,23.298,4.392,76.474,42705368,11449736,-1.05352377891541,0.124054118990898,1.21530387918325,2019
"American Samoa","2019-01-01",20.05,85.8,200,NA,NA,1.8407998085022,0.409342139959335,NA,0.5,NA,NA,NA,236.605,NA,NA,NA,NA,NA,NA,NA,0.537684321403503,0.458732217550278,NA,NA,NA,NA,NA,NA,NA,6.47e+08,1.17218911647797,0.317559719085693,1.32805216312408,0.493787199258804,-0.301867425441742,0.489275962114334,NA,NA,NA,NA,NA,NA,NA,47321,6082,1.27270877361298,0.495211690664291,0,2019
"Andorra","2019-01-01",40,34.0425531914894,470,NA,87.5795786660641,1.23104310035706,0.409342139959335,100,18.46,NA,479.984,605.715596,162.431914893617,NA,NA,NA,NA,NA,NA,NA,1.90103769302368,0.458732217550278,NA,NA,NA,NA,90.71866533,NA,NA,3155149347.92151,1.60220229625702,0.28803214430809,1.57228696346283,0.493787199258804,1.22653388977051,0.489275962114334,3.15060997009277,5.30793858,NA,NA,7,3.9,NA,76343,9173,1.11008703708649,0.218348681926727,NA,2019
"Angola","2019-01-01",45.6825940482875,53.8721745407877,1246700,1010,12.4469232447423,-1.07811367511749,0.162923946976662,45.6338806152344,54.39,NA,24382.9,78672.38408,25.9513820486083,17.0797044074954,0.09091878728126,6.210992205655,NA,NA,10.090385804431,16.6849522138374,-1.08401024341583,0.215196534991264,NA,177,NA,54.9458333333333,32.12939197,NA,1.64374028332038,69309110145.7687,-0.358524978160858,0.218295738101006,-0.993774950504303,0.170971065759659,-0.820471882820129,0.212572857737541,1.92745995521545,1.09448123,NA,NA,39.725,7.811,62.448,32353588,10942954,-0.783404350280762,0.120261542499065,NA,2019
"Antigua and Barbuda","2019-01-01",20.4545454545455,18.5909090909091,440,1030,101.329955253687,0.274131566286087,0.262474596500397,100,0.69,NA,509,1211.480385,209.356818181818,1.43135598182989,8.55161383910282,NA,NA,NA,NA,NA,-0.00765708275139332,0.458732217550278,NA,113,NA,NA,95.70763132,NA,NA,1675403703.7037,0.953555166721344,0.278495520353317,0.400458484888077,0.324878245592117,0.483430832624435,0.355795800685883,2.83134007453918,2.55713224,NA,NA,11.485,5.865,78.691,92117,69543,0.733219802379608,0.204118594527245,3.25674553418769,2019
"Arab World","2019-01-01",36.5979360174808,2.82662014036513,13100547,NA,16.7120834376556,NA,NA,90.3528022912948,4.73230713602678,NA,1845846.37,2796418.0348,33.6984203026026,1.09184802655847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.7310291575392,NA,5.53379727244744,2868890920845.12,NA,NA,NA,NA,NA,NA,2.98847007751465,2.59500927608355,NA,NA,24.5986203848929,5.19886642116107,71.8446260250446,441467739,181514684,NA,NA,NA,2019
